GID;FROM;TO;EROSIORATE(cm/y);Periode
216;8992;9087;-1.62235791;2006 – 2015;
216;9087;9300;-7.74390597;2006 – 2015;
216;9300;9496;9.020238286;2006 – 2015;
216;9496;9597;4.486784497;2006 – 2015;
216;9597;9698; 2.710256599;2006 – 2015;
216;9698;9719;2.179433807;2006 – 2015;
216;9764;9852;5.474149012;2006 – 2015;
216;9852;10003;7.9482364;2006 – 2015;
216;10003;10080;6.327538499;2006 – 2015;
216;10080;10200;8.235306168;2006 – 2015;
216;10200;10305;5.195495348;2006 – 2015;
216;10305;10421;3.250736864;2006 – 2015;
216;10421;10525;1.827839535;2006 – 2015;
216;10525;10554;-0.94879735;2006 – 2015;
216;10554;11125;1.77427908;2006 – 2015;
216;11125;11163;4.60237712;2006 – 2015;
216;11163;11307;1.585688617;2006 – 2015;
216;11307;11399;-2.13539644;2006 – 2015;
216;11399;11608;-0.6915548;2006 – 2015;
216;11608;11700;0.973202399;2006 – 2015;
216;11700;11731;1.877773525;2006 – 2015;
216;11731;11814;3.855761512;2006 – 2015;
216;11814;11933;3.107251787;2006 – 2015;
216;11933;11985;4.681689379;2006 – 2015;
216;11985;12417;0.255023927;2006 – 2015;
216;12417;12494;2.398607928;2006 – 2015;
216;12494;12683;1.294645087;2006 – 2015;
216;12683;12729;-0.17585557;2006 – 2015;
216;12934;12991;-0.76583177;2006 – 2015;
216;13032;13117;-1.62593805;2006 – 2015;
216;13117;13312;0.343392278;2006 – 2015;
216;13312;13510;-3.22353461;2006 – 2015;
167;0;294;0.622842908;2006 – 2015;
167;294;569;0.265269372;2006 – 2015;
167;569;694;3.433641311;2006 – 2015;
167;694;798;1.274148848;2006 – 2015;
167;798;905;0.440616441;2006 – 2015;
167;905;941;2.695486126;2006 – 2015;
167;1207;1513;0.322837654;2006 – 2015;
167;1513;1715;-1.32929853;2006 – 2015;
167;1715;1789;0.810277614;2006 – 2015;
167;1789;1842;5.499037274;2006 – 2015;
167;2059;2258;-1.91508046;2006 – 2015;
167;2258;2342;-0.63746862;2006 – 2015;
167;2342;2427;-3.77274153;2006 – 2015;
167;2427;2495;-1.68722561;2006 – 2015;
167;2495;2601;-3.06564423;2006 – 2015;
167;2601;3133;-999;2006 – 2015;
111;23732.06269;23813.35046;-0.834;1985-2008
111;23813.35046;23987.53852;-0.856;1985-2008
111;23987.53852;24007.86046;-0.47;1985-2008
111;24007.86046;24044;-1.052;1985-2008
234;0;152.5642035;-0.905;1985-2008
234;152.5642035;208.6914694;-0.283;1985-2008
234;208.6914694;419.6525721;0.219;1985-2008
234;419.6525721;480.6183954;0.18;1985-2008
234;480.6183954;570.615563;-0.703;1985-2008
234;570.615563;620.383582;-0.99;1985-2008
234;620.383582;717.707708;-0.304;1985-2008
234;717.707708;974.3745684;-0.03;1985-2008
234;974.3745684;1017.698267;-0.289;1985-2008
234;1017.698267;1174.467527;0.064;1985-2008
234;1174.467527;1226.078806;0.323;1985-2008
234;1226.078806;1371.880669;0.597;1985-2008
234;1371.880669;1479.966597;0.647;1985-2008
234;1479.966597;1615.743962;0.268;1985-2008
234;1615.743962;1749.933287;0.188;1985-2008
234;1749.933287;1844.676849;-0.452;1985-2008
234;1844.676849;1847.994717;-1.524;1985-2008
234;1847.994717;1875.864808;-2.583;1985-2008
234;1875.864808;1991.567911;-1.478;1985-2008
234;1991.567911;2022.182784;0.379;1985-2008
234;2022.182784;2242.821001;0.337;1985-2008
234;2242.821001;2498.296832;-0.019;1985-2008
234;2498.296832;2753.772663;0.002;1985-2008
234;2753.772663;2763.062693;-0.548;1985-2008
234;2763.062693;2773.67987;-1.212;1985-2008
234;2773.67987;3009.248494;-0.715;1985-2008
234;3009.248494;3045.376389;-0.444;1985-2008
234;3045.376389;3256.982633;-0.485;1985-2008
234;3256.982633;3540.522096;-0.18;1985-2008
234;3540.522096;3682.775684;-0.374;1985-2008
234;3682.775684;3775.675986;-0.324;1985-2008
234;3775.675986;4031.151817;-0.125;1985-2008
234;4031.151817;4286.627648;-0.126;1985-2008
234;4286.627648;4562.010686;-0.181;1985-2008
234;4562.010686;4788.289279;-0.127;1985-2008
234;4788.289279;5007.892119;-0.109;1985-2008
233;0;10.32540778;-0.591;1985-2008
233;10.32540778;221.0100215;-0.481;1985-2008
233;221.0100215;263.478731;0.59;1985-2008
233;263.478731;275.0912688;0.812;1985-2008
233;275.0912688;428.3767673;0.591;1985-2008
233;428.3767673;505.7936857;0.407;1985-2008
233;505.7936857;718.6902114;0.475;1985-2008
233;718.6902114;730.3027492;0.639;1985-2008
233;730.3027492;765.1403625;0.183;1985-2008
233;765.1403625;927.7158912;-0.414;1985-2008
233;927.7158912;927.7158912;-1.068;1985-2008
233;927.7158912;1020.616193;-0.692;1985-2008
233;1020.616193;1029.906223;-1.112;1985-2008
233;1029.906223;1043.841269;-2.617;1985-2008
233;1043.841269;1258.673217;-1.952;1985-2008
233;1258.673217;1259.502684;-1.204;1985-2008
233;1259.502684;1276.092024;-0.793;1985-2008
233;1276.092024;1310.929637;-1.112;1985-2008
233;1310.929637;1477.376012;-1.529;1985-2008
233;1477.376012;1531.567855;-0.451;1985-2008
233;1531.567855;1661.628278;-0.786;1985-2008
233;1661.628278;1752.206072;-1.707;1985-2008
233;1752.206072;1787.043686;-0.957;1985-2008
233;1787.043686;1903.169063;-0.27;1985-2008
233;1903.169063;2050.261208;-0.319;1985-2008
233;2050.261208;2244.90946;-0.174;1985-2008
233;2244.90946;2345.993837;-0.009;1985-2008
233;2345.993837;2379.283112;0.929;1985-2008
233;2379.283112;2390.895649;1.331;1985-2008
233;2390.895649;2525.601088;0.361;1985-2008
233;2525.601088;2646.37148;-0.411;1985-2008
233;2646.37148;2748.948897;-0.335;1985-2008
233;2748.948897;2890.234773;0.298;1985-2008
233;2890.234773;3004.424728;0.361;1985-2008
233;3004.424728;3218.703699;0.1;1985-2008
233;3218.703699;3477.114567;0.092;1985-2008
233;3477.114567;3746.882751;-0.116;1985-2008
233;3746.882751;3749.562568;-0.471;1985-2008
233;3749.562568;3995.361284;-0.432;1985-2008
233;3995.361284;4156.00139;-0.445;1985-2008
233;4156.00139;4254.707961;-0.402;1985-2008
233;4254.707961;4295.351843;-0.306;1985-2008
233;4295.351843;4353.414532;0.797;1985-2008
233;4353.414532;4365.027069;1.875;1985-2008
233;4365.027069;4370.833338;1.322;1985-2008
233;4370.833338;4504.377523;0.542;1985-2008
233;4504.377523;4539.215136;0.322;1985-2008
233;4539.215136;4676.243081;1.358;1985-2008
233;4676.243081;4701.790665;1.531;1985-2008
233;4701.790665;4713.403202;1.257;1985-2008
233;4713.403202;4750.176239;0.773;1985-2008
233;4750.176239;4992.104109;0.581;1985-2008
233;4992.104109;5003.716646;0.797;1985-2008
233;5003.716646;5005.652069;0.191;1985-2008
233;5005.652069;5270.805015;-0.002;1985-2008
233;5270.805015;5417.301645;0.179;1985-2008
233;5417.301645;5576.048865;0.79;1985-2008
233;5576.048865;5616.600584;0.605;1985-2008
233;5616.600584;5789.498369;0.316;1985-2008
233;5789.498369;5845.625634;0.333;1985-2008
233;5845.625634;6115.10482;-0.069;1985-2008
233;6115.10482;6130.13281;-0.486;1985-2008
233;6130.13281;6135.293937;-0.166;1985-2008
233;6135.293937;6159.164154;0.76;1985-2008
233;6159.164154;6327.545952;0.97;1985-2008
233;6327.545952;6385.60864;0.478;1985-2008
233;6385.60864;6536.571631;-0.033;1985-2008
233;6536.571631;6570.370725;-0.097;1985-2008
148;0;322;-0.80;2000-2019
148;322;982;2.50;2000-2019
148;982;1242;-0.50;2000-2019
148;1242;1482;-0.10;2000-2019
148;1482;2442; 2.65;2000-2019
148;2442;2565;-1.10;2000-2019
148;2565;2985;2.05;2000-2019
148;2985;3545;1.05;2000-2019
148;3545;4085;0.95;2000-2019
148;4085;4595;0.85;2000-2019
279;0;44;-0.35;2000-2019
279;44;584;2.25;2000-2019
279;584;1244;0.55;2000-2019
279;1244;1584;-1.45;2000-2019
279;1584;2244;2.15;2000-2019
279;2244;4044;1.25;2000-2019
279;4044;4124;0.00;1999-2019
279;4124;4624;0.52;1999-2019
279;4624;4704;0.00;1999-2019
279;4704;5933;2.48;1999-2019
280;0;851;0.81;1999-2019
280;851;1871;3.14;1999-2019
280;1871;2551;2.62;1999-2019
280;2551;3231;-8.95;1999-2019
280;3231;3483;-1.10;1999-2019
280;3483;4323;0.90;1999-2019
280;4323;5103;0.81;1999-2019
